date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:42	77924/77924	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:3fbc3e8de85f682463b7a0c3212b4345%22	https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer	E:/e/html%20jio/ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer.html	(from )
13:36:43	560/560	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:fc7afd7132c0cb31c2619858edde0e22%22	https://ec1b5e-86.myshopify.com/robots.txt		(from )
13:36:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:43%20GMT	http://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/constants.js?v=132983761750457495441726804366	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/constants.12db6.delayed	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:43	258/258	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2020%20Sep%202024%2004:06:37%20GMT	https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/constants.js?v=132983761750457495441726804366	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/constants2db6.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:43%20GMT	http://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/pubsub.js?v=158357773527763999511726804367	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/pubsub835c.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:43	476/476	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2020%20Sep%202024%2004:06:37%20GMT	https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/pubsub.js?v=158357773527763999511726804367	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/pubsub835c.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:44%20GMT	http://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/global.js?v=88558128918567037191726804366	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/globala0c1.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:44%20GMT	http://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/details-disclosure.js?v=13653116266235556501726804366	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/details-disclosured2d7.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:44	32539/32539	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2020%20Sep%202024%2004:06:38%20GMT	https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/global.js?v=88558128918567037191726804366	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/globala0c1.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:44	1440/1440	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2020%20Sep%202024%2004:06:37%20GMT	https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/details-disclosure.js?v=13653116266235556501726804366	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/details-disclosured2d7.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:44%20GMT	http://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/details-modal.js?v=25581673532751508451726804366	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/details-modalb00a.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:45	1554/1554	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2020%20Sep%202024%2004:06:38%20GMT	https://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/details-modal.js?v=25581673532751508451726804366	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/details-modalb00a.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
13:36:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202024%2008:06:45%20GMT	http://ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/search-form.js?v=133129549252120666541726804367	E:/e/html%20jio/ec1b5e-86.myshopify.com/cdn/shop/t/2/assets/search-form078e.js	(from https://ec1b5e-86.myshopify.com/pages/gpay-exclusive-offer)
